STUDY_ID,REVIEWERS,INCLUDE,PMID,Title,Authors,Citation,First.Author,Journal.Book,Publication.Year,Create.Date,PMCID,NIHMS.ID,DOI
307,Jonny,maybe,12523989,First evidence of bluetongue virus in Kazakhstan,"Lundervold M, Milner-Gulland EJ, O'Callaghan CJ, Hamblin C.",Vet Microbiol. 2003 Apr 2;92(3):281-7. doi: 10.1016/s0378-1135(02)00365-6.,Lundervold M,Vet Microbiol,2003,14/01/2003,,,10.1016/s0378-1135(02)00365-6
328,Jonny,maybe,4362414,"The distribution in Kenya of bluetongue virus and antibody, and the Culicoides vector","Davies FG, Walker AR.",J Hyg (Lond). 1974 Apr;72(2):265-72. doi: 10.1017/s0022172400023470.,Davies FG,J Hyg (Lond),1974,01/04/1974,PMC2130505,,10.1017/s0022172400023470
351,Jonny,maybe,23001721,Molecular characterisation of rabies virus strains in the Republic of Macedonia,"Picard-Meyer E, Mrenoshki S, Milicevic V, Ilieva D, Cvetkovikj I, Cvetkovikj A, Krstevski K, Dzhadzhovski I, Robardet E, Gagnev E, Iliev E, Plavsic B, Kirandjiski T, Cliquet F.",Arch Virol. 2013 Jan;158(1):237-40. doi: 10.1007/s00705-012-1466-9. Epub 2012 Sep 23.,Picard-Meyer E,Arch Virol,2013,25/09/2012,,,10.1007/s00705-012-1466-9
352,Jonny,maybe,12892265,Identification of a novel bluetongue virus vector species of Culicoides in Sicily,"Caracappa S, Torina A, Guercio A, Vitale F, Calabrò A, Purpari G, Ferrantelli V, Vitale M, Mellor PS.",Vet Rec. 2003 Jul 19;153(3):71-4. doi: 10.1136/vr.153.3.71.,Caracappa S,Vet Rec,2003,02/08/2003,,,10.1136/vr.153.3.71
353,Jonny,maybe,21723622,FIV diversity: FIV Ple subtype composition may influence disease outcome in African lions,"Troyer JL, Roelke ME, Jespersen JM, Baggett N, Buckley-Beason V, MacNulty D, Craft M, Packer C, Pecon-Slattery J, O'Brien SJ.",Vet Immunol Immunopathol. 2011 Oct 15;143(3-4):338-46. doi: 10.1016/j.vetimm.2011.06.013. Epub 2011 Jun 12.,Troyer JL,Vet Immunol Immunopathol,2011,05/07/2011,PMC3168974,NIHMS309190,10.1016/j.vetimm.2011.06.013
360,Jonny,maybe,21435236,"Disease properties, geography, and mitigation strategies in a simulation spread of rinderpest across the United States","Manore C, McMahon B, Fair J, Hyman JM, Brown M, Labute M.",Vet Res. 2011 Mar 24;42(1):55. doi: 10.1186/1297-9716-42-55.,Manore C,Vet Res,2011,26/03/2011,PMC3072946,,10.1186/1297-9716-42-55
382,Jonny,maybe,25377636,Phylogenetic analysis of a G6P[5] bovine rotavirus strain isolated in a neonatal diarrhea outbreak in a beef cattle herd vaccinated with G6P[1] and G10P[11] genotypes,"da Silva Medeiros TN, Lorenzetti E, Alfieri AF, Alfieri AA.",Arch Virol. 2015 Feb;160(2):447-51. doi: 10.1007/s00705-014-2271-4. Epub 2014 Nov 7.,da Silva Medeiros TN,Arch Virol,2015,08/11/2014,PMC7086630,,10.1007/s00705-014-2271-4
383,Jonny,maybe,18440732,Epidemiological survey of swine influenza A virus in selected wild boar populations in Germany,"Kaden V, Lange E, Starick E, Bruer W, Krakowski W, Klopries M.",Vet Microbiol. 2008 Sep 18;131(1-2):123-32. doi: 10.1016/j.vetmic.2008.03.006. Epub 2008 Mar 25.,Kaden V,Vet Microbiol,2008,29/04/2008,,,10.1016/j.vetmic.2008.03.006
385,Jonny,YES,11153219,"Classical swine fever virus: clinical, virological, serological and hematological findings after infection of domestic pigs and wild boars with the field isolate ""Spante"" originating from wild boar","Kaden V, Ziegler U, Lange E, Dedek J.",Berl Munch Tierarztl Wochenschr. 2000 Nov-Dec;113(11-12):412-6.,Kaden V,Berl Munch Tierarztl Wochenschr,2000,12/01/2001,,,
386,Jonny,maybe,11449911,[Genetic typing of German isolates of classical swine fever virus],"Wonnemann H, Floegel-Niesmann G, Moennig V, Greiser-Wilke I.",Dtsch Tierarztl Wochenschr. 2001 Jun;108(6):252-6.,Wonnemann H,Dtsch Tierarztl Wochenschr,2001,14/07/2001,,,
387,Jonny,maybe,18068914,Detection of hepatitis E virus in archived German wild boar serum samples,"Kaci S, Nöckler K, Johne R.",Vet Microbiol. 2008 Apr 30;128(3-4):380-5. doi: 10.1016/j.vetmic.2007.10.030. Epub 2007 Nov 9.,Kaci S,Vet Microbiol,2008,11/12/2007,,,10.1016/j.vetmic.2007.10.030
391,Jonny,maybe,8953536,Prevalence of exposure to eastern equine encephalomyelitis virus in domestic and feral swine in Georgia,"Elvinger F, Baldwin CA, Liggett AD, Tang KN, Stallknecht DE.",J Vet Diagn Invest. 1996 Oct;8(4):481-4. doi: 10.1177/104063879600800414.,Elvinger F,J Vet Diagn Invest,1996,01/10/1996,,,10.1177/104063879600800414
396,Jonny,maybe,26762436,Hunt for Ebola's wild hideout takes off as epidemic wanes,Callaway E.,Nature. 2016 Jan 14;529(7585):138-9. doi: 10.1038/529138a.,Callaway E,Nature,2016,15/01/2016,,,10.1038/529138a
397,Jonny,maybe,24034277,Serosurvey for schmallenberg virus in alpine wild ungulates,"Chiari M, Sozzi E, Zanoni M, Alborali LG, Lavazza A, Cordioli P.",Transbound Emerg Dis. 2014 Feb;61(1):1-3. doi: 10.1111/tbed.12158. Epub 2013 Aug 26.,Chiari M,Transbound Emerg Dis,2014,17/09/2013,,,10.1111/tbed.12158
399,Jonny,maybe,23725773,"Re-emergence of animal rabies in northern Greece and subsequent human exposure, October 2012 - March 2013","Tsiodras S, Dougas G, Baka A, Billinis C, Doudounakis S, Balaska A, Georgakopoulou T, Rigakos G, Kontos V, Tasioudi KE, Tzani M, Tsarouxa P, Iliadou P, Mangana-Vougiouka O, Iliopoulos D, Sapounas S, Efstathiou P, Tsakris A, Hadjichristodoulou C, Kremastinou J.",Euro Surveill. 2013 May 2;18(18):20474.,Tsiodras S,Euro Surveill,2013,04/06/2013,,,
401,Jonny,YES,20067659,Peste des petits ruminants in Arabian wildlife,"Kinne J, Kreutzer R, Kreutzer M, Wernery U, Wohlsein P.",Epidemiol Infect. 2010 Aug;138(8):1211-4. doi: 10.1017/S0950268809991592. Epub 2010 Jan 13.,Kinne J,Epidemiol Infect,2010,14/01/2010,,,10.1017/S0950268809991592
415,Jonny,maybe,18419650,Rate of foot-and-mouth disease virus transmission by carriers quantified from experimental data,"Tenzin, Dekker A, Vernooij H, Bouma A, Stegeman A.",Risk Anal. 2008 Apr;28(2):303-9. doi: 10.1111/j.1539-6924.2008.01020.x.,Tenzin,Risk Anal,2008,19/04/2008,,,10.1111/j.1539-6924.2008.01020.x
421,Jonny,YES,10085775,Incidence of classical swine fever (CSF) in wild boar in a densely populated area indicating CSF virus persistence as a mechanism for virus perpetuation,"Kern B, Depner KR, Letz W, Rott M, Thalheim S, Nitschke B, Plagemann R, Liess B.",Zentralbl Veterinarmed B. 1999 Feb;46(1):63-7. doi: 10.1046/j.1439-0450.1999.00214.x.,Kern B,Zentralbl Veterinarmed B,1999,23/03/1999,,,10.1046/j.1439-0450.1999.00214.x
423,Jonny,maybe,3769442,Major antigenic groups of rabies virus in Canada determined by anti-nucleocapsid monoclonal antibodies,"Webster WA, Casey GA, Charlton KM.",Comp Immunol Microbiol Infect Dis. 1986;9(1):59-69. doi: 10.1016/0147-9571(86)90076-7.,Webster WA,Comp Immunol Microbiol Infect Dis,1986,01/01/1986,,,10.1016/0147-9571(86)90076-7
432,Jonny,YES,10459661,Classical swine fever in Sardinia: epidemiology of recent outbreaks,"Lowings P, Ibata G, De Mia GM, Rutili D, Paton D.",Epidemiol Infect. 1999 Jun;122(3):553-9. doi: 10.1017/s0950268899002484.,Lowings P,Epidemiol Infect,1999,25/08/1999,PMC2809652,,10.1017/s0950268899002484
440,Jonny,NO,10982081,Use of ELISAs in field studies of rabbit haemorrhagic disease (RHD) in Australia,"Cooke BD, Robinson AJ, Merchant JC, Nardin A, Capucci L.",Epidemiol Infect. 2000 Jun;124(3):563-76. doi: 10.1017/s0950268899003994.,Cooke BD,Epidemiol Infect,2000,12/09/2000,PMC2810943,,10.1017/s0950268899003994
446,Jonny,maybe,9394612,Monoclonal antibody characterization of rabies virus strains isolated in the River Plate Basin,"Delpietro HA, Gury-Dhomen F, Larghi OP, Mena-Segura C, Abramo L.",Zentralbl Veterinarmed B. 1997 Oct;44(8):477-83. doi: 10.1111/j.1439-0450.1997.tb00998.x.,Delpietro HA,Zentralbl Veterinarmed B,1997,12/12/1997,,,10.1111/j.1439-0450.1997.tb00998.x
449,Jonny,maybe,18487587,Bluetongue virus serotype 1 in wild mouflons in Spain,"Fernández-Pacheco P, Fernández-Pinero J, Agüero M, Jiménez-Clavero MA.",Vet Rec. 2008 May 17;162(20):659-60. doi: 10.1136/vr.162.20.659.,Fernández-Pacheco P,Vet Rec,2008,20/05/2008,,,10.1136/vr.162.20.659
450,Jonny,YES,3035241,"Epizootic vesicular stomatitis in Colorado, 1982: some observations on the possible role of wildlife populations in an enzootic maintenance cycle","Webb PA, McLean RG, Smith GC, Ellenberger JH, Francy DB, Walton TE, Monath TP.",J Wildl Dis. 1987 Apr;23(2):192-8. doi: 10.7589/0090-3558-23.2.192.,Webb PA,J Wildl Dis,1987,01/04/1987,,,10.7589/0090-3558-23.2.192
465,Jonny,maybe,17913050,[Bat research on rabies virus in the Netherlands from 2002 to 2006],"Valkenburgh M, Aalten M, Zochner L.",Tijdschr Diergeneeskd. 2007 Sep 1;132(17):650-3.,Valkenburgh M,Tijdschr Diergeneeskd,2007,05/10/2007,,,
468,Jonny,NO,7567093,Parasites of wild brown rats (Rattus norvegicus) on UK farms,"Webster JP, Macdonald DW.",Parasitology. 1995 Sep;111 ( Pt 3):247-55. doi: 10.1017/s0031182000081804.,Webster JP,Parasitology,1995,01/09/1995,,,10.1017/s0031182000081804
469,Jonny,maybe,8593775,[Serologic investigations on the occurrence of Maedi-Visna antibodies in game ruminants],"Starick E, Dedek J, Enke KH, Loeppelmann H.",Dtsch Tierarztl Wochenschr. 1995 May;102(5):202-3.,Starick E,Dtsch Tierarztl Wochenschr,1995,01/05/1995,,,
472,Jonny,maybe,8964034,"New aspects of rabies with emphasis on epidemiology, diagnosis, and prevention of the disease in the United States",Smith JS.,Clin Microbiol Rev. 1996 Apr;9(2):166-76.,Smith JS,Clin Microbiol Rev,1996,01/04/1996,PMC172889,,
476,Jonny,maybe,1058244,Observations on the epidemiology of ephemeral fever in Kenya,"Davies FG, Shaw T, Ochieng P.",J Hyg (Lond). 1975 Oct;75(2):231-5. doi: 10.1017/s0022172400047264.,Davies FG,J Hyg (Lond),1975,01/10/1975,PMC2130305,,10.1017/s0022172400047264
478,Jonny,maybe,9757784,[Classical swine fever in 1993 in Switzerland: molecular-epidemiologic characterization of the virus isolate],"Hofmann M, Bossy S.",Schweiz Arch Tierheilkd. 1998;140(9):365-70.,Hofmann M,Schweiz Arch Tierheilkd,1998,03/10/1998,,,
485,Jonny,maybe,12555978,"Hantaviruses: etiologic agents of rare, but potentially life-threatening zoonotic diseases","Calisher CH, Mills JN, Root JJ, Beaty BJ.",J Am Vet Med Assoc. 2003 Jan 15;222(2):163-6. doi: 10.2460/javma.2003.222.163.,Calisher CH,J Am Vet Med Assoc,2003,31/01/2003,,,10.2460/javma.2003.222.163
488,Jonny,maybe,9670447,Rediscovery of the second African lineage of rinderpest virus: its epidemiological significance,"Barrett T, Forsyth MA, Inui K, Wamwayi HM, Kock R, Wambua J, Mwanzia J, Rossiter PB.",Vet Rec. 1998 Jun 13;142(24):669-71. doi: 10.1136/vr.142.24.669.,Barrett T,Vet Rec,1998,22/07/1998,,,10.1136/vr.142.24.669
489,Jonny,maybe,3077442,Epidemiology and diagnosis of rabies in Greece,"Seimenis A, Manganà O, Nomicoù V.",Parassitologia. 1988 Jan-Apr;30(1):93-5.,Seimenis A,Parassitologia,1988,01/01/1988,,,
492,Jonny,maybe,3268777,[Rabies in Austria 1966-1986],Scharfen E.,Parassitologia. 1988 Jan-Apr;30(1):81-5.,Scharfen E,Parassitologia,1988,01/01/1988,,,
493,Jonny,NO,15981631,[A case of acute hepatitis E who had a history of frequent ingestion of raw meat and viscera from wild deer and boars],"Hijioka S, Sato Y, Iwashita Y, Indou Y.",Nihon Shokakibyo Gakkai Zasshi. 2005 Jun;102(6):723-8.,Hijioka S,Nihon Shokakibyo Gakkai Zasshi,2005,29/06/2005,,,
498,Jonny,YES,12418684,"Human, animal cases of West Nile continue to climb. Virus identified in small number of new animal species",,"J Am Vet Med Assoc. 2002 Nov 1;221(9):1238, 1241.",,J Am Vet Med Assoc,2002,07/11/2002,,,
501,Jonny,maybe,7549256,[The evolution of rabies in Romania. The biological characteristics of the strains of the rabies virus isolated in Romania],"Toacsen E, Moraru S.",Bacteriol Virusol Parazitol Epidemiol. 1995 Apr-Jun;40(2):135-40.,Toacsen E,Bacteriol Virusol Parazitol Epidemiol,1995,01/04/1995,,,
509,Jonny,NO,10473520,Detection of borna disease virus-reactive antibodies from patients with psychiatric disorders and from horses by electrochemiluminescence immunoassay,"Yamaguchi K, Sawada T, Naraki T, Igata-Yi R, Shiraki H, Horii Y, Ishii T, Ikeda K, Asou N, Okabe H, Mochizuki M, Takahashi K, Yamada S, Kubo K, Yashiki S, Waltrip RW 2nd, Carbone KM.",Clin Diagn Lab Immunol. 1999 Sep;6(5):696-700.,Yamaguchi K,Clin Diagn Lab Immunol,1999,03/09/1999,PMC95757,,
518,Jonny,maybe,6285010,"Prevalence of antibodies of selected infectious disease agents in the peninsular desert bighorn sheep (Ovis canadensis cremnobates) of the Santa Rosa Mountains, California","Turner JC, Payson JB.",J Wildl Dis. 1982 Apr;18(2):243-5. doi: 10.7589/0090-3558-18.2.243.,Turner JC,J Wildl Dis,1982,01/04/1982,,,10.7589/0090-3558-18.2.243
530,Jonny,NO,432411,"Human antirabies treatment in the United States, 1972","Winkler WG, Kappus KD.",Public Health Rep. 1979 Mar-Apr;94(2):166-71.,Winkler WG,Public Health Rep,1979,01/03/1979,PMC1431805,,
535,Jonny,maybe,21781340,"Role of wild ruminants in the epidemiology of bluetongue virus serotypes 1, 4 and 8 in Spain","García-Bocanegra I, Arenas-Montes A, Lorca-Oró C, Pujols J, González MA, Napp S, Gómez-Guillamón F, Zorrilla I, Miguel ES, Arenas A.",Vet Res. 2011 Jul 23;42(1):88. doi: 10.1186/1297-9716-42-88.,García-Bocanegra I,Vet Res,2011,26/07/2011,PMC3156734,,10.1186/1297-9716-42-88
542,Jonny,YES,17344285,"Biologic, antigenic, and full-length genomic characterization of a bovine-like coronavirus isolated from a giraffe","Hasoksuz M, Alekseev K, Vlasova A, Zhang X, Spiro D, Halpin R, Wang S, Ghedin E, Saif LJ.",J Virol. 2007 May;81(10):4981-90. doi: 10.1128/JVI.02361-06. Epub 2007 Mar 7.,Hasoksuz M,J Virol,2007,09/03/2007,PMC1900194,,10.1128/JVI.02361-06
555,Jonny,YES,31874303,Circulation of hepatitis E virus (HEV) and/or HEV-like agent in non-mixed dairy farms could represent a potential source of infection for Egyptian people,"Sayed IM, Elkhawaga AA, El-Mokhtar MA.",Int J Food Microbiol. 2020 Mar 16;317:108479. doi: 10.1016/j.ijfoodmicro.2019.108479. Epub 2019 Dec 12.,Sayed IM,Int J Food Microbiol,2020,25/12/2019,,,10.1016/j.ijfoodmicro.2019.108479
556,Jonny,maybe,24511822,Prospects of improved classical swine fever control in backyard pigs through oral vaccination,"Dietze K, Milicevic V, Depner K.",Berl Munch Tierarztl Wochenschr. 2013 Nov-Dec;126(11-12):476-80.,Dietze K,Berl Munch Tierarztl Wochenschr,2013,12/02/2014,,,
558,Jonny,maybe,19747861,Detection of hepatitis E virus in wild boar (Sus scrofa) livers,"Kaba M, Davoust B, Marié JL, Colson P.",Vet J. 2010 Nov;186(2):259-61. doi: 10.1016/j.tvjl.2009.08.008. Epub 2009 Sep 10.,Kaba M,Vet J,2010,15/09/2009,,,10.1016/j.tvjl.2009.08.008
559,Jonny,maybe,28771956,"Knowledge, risk perception and mitigation measures towards Ebola virus disease by potentially exposed bushmeat handlers in north-central Nigeria: Any critical gap?","Alhaji NB, Yatswako S, Oddoh EY.",Zoonoses Public Health. 2018 Feb;65(1):158-167. doi: 10.1111/zph.12384. Epub 2017 Aug 3.,Alhaji NB,Zoonoses Public Health,2018,04/08/2017,,,10.1111/zph.12384
560,Jonny,NO,12653149,Risk factors for human exposure to raccoon rabies during an epizootic in Connecticut,"Bretsky PM, Wilson ML.",Vector Borne Zoonotic Dis. 2001 Fall;1(3):211-7. doi: 10.1089/153036601753552576.,Bretsky PM,Vector Borne Zoonotic Dis,2001,26/03/2003,,,10.1089/153036601753552576
562,Jonny,maybe,22503391,Experimental infection of wild boar and domestic pigs with a foot and mouth disease virus strain detected in the southeast of Bulgaria in December of 2010,"Breithaupt A, Depner K, Haas B, Alexandrov T, Polihronova L, Georgiev G, Meyer-Gerbaulet H, Beer M.",Vet Microbiol. 2012 Sep 14;159(1-2):33-9. doi: 10.1016/j.vetmic.2012.03.021. Epub 2012 Mar 16.,Breithaupt A,Vet Microbiol,2012,17/04/2012,,,10.1016/j.vetmic.2012.03.021
563,Jonny,NO,15846400,A serial cross-sectional study of the prevalence of rabbit haemorrhagic disease on three farms in the lower North Island of New Zealand,"Henning J, Davies P.",N Z Vet J. 2005 Apr;53(2):149-53. doi: 10.1080/00480169.2005.36493.,Henning J,N Z Vet J,2005,23/04/2005,,,10.1080/00480169.2005.36493
564,Jonny,maybe,11770982,"A new modified live equine influenza virus vaccine: phenotypic stability, restricted spread and efficacy against heterologous virus challenge","Chambers TM, Holland RE, Tudor LR, Townsend HG, Cook A, Bogdan J, Lunn DP, Hussey S, Whitaker-Dowling P, Youngner JS, Sebring RW, Penner SJ, Stiegler GL.",Equine Vet J. 2001 Nov;33(7):630-6. doi: 10.2746/042516401776249291.,Chambers TM,Equine Vet J,2001,05/01/2002,,,10.2746/042516401776249291
578,Jonny,YES,21294855,Experimental infection of common warthogs (Phacochoerus africanus) and bushpigs (Potamochoerus larvatus) with classical swine fever virus. I: Susceptibility and transmission,"Everett H, Crooke H, Gurrala R, Dwarka R, Kim J, Botha B, Lubisi A, Pardini A, Gers S, Vosloo W, Drew T.",Transbound Emerg Dis. 2011 Apr;58(2):128-34. doi: 10.1111/j.1865-1682.2011.01202.x. Epub 2011 Feb 7.,Everett H,Transbound Emerg Dis,2011,08/02/2011,,,10.1111/j.1865-1682.2011.01202.x
581,Jonny,NO,18059658,Feline immunodeficiency virus subtypes in domestic cats in New Zealand,"Kann RK, Seddon JM, Meers J, Zwijnenberg RJ.",N Z Vet J. 2007 Dec;55(6):358-60. doi: 10.1080/00480169.2007.36795.,Kann RK,N Z Vet J,2007,07/12/2007,,,10.1080/00480169.2007.36795
593,Jonny,maybe,2849174,[Epizootiology of herpesvirus infections in wild ruminants. II. Infectious bovine mammillitis and malignant catarrhal fever viruses and other viruses isolated from ruminants],"Meersschaert C, Thiry E, Pastoret PP.",Rev Elev Med Vet Pays Trop. 1988;41(3):235-42.,Meersschaert C,Rev Elev Med Vet Pays Trop,1988,01/01/1988,,,
595,Jonny,maybe,25283611,Serological and virological survey of hepatitis E virus in wild boar populations in northwestern Italy: detection of HEV subtypes 3e and 3f,"Caruso C, Modesto P, Bertolini S, Peletto S, Acutis PL, Dondo A, Robetto S, Mignone W, Orusa R, Ru G, Masoero L.",Arch Virol. 2015 Jan;160(1):153-60. doi: 10.1007/s00705-014-2246-5. Epub 2014 Oct 5.,Caruso C,Arch Virol,2015,07/10/2014,,,10.1007/s00705-014-2246-5
596,Jonny,maybe,30811818,Hepatitis E virus in sheep in Italy,"Sarchese V, Di Profio F, Melegari I, Palombieri A, Sanchez SB, Arbuatti A, Ciuffetelli M, Marsilio F, Martella V, Di Martino B.",Transbound Emerg Dis. 2019 May;66(3):1120-1125. doi: 10.1111/tbed.13157. Epub 2019 Mar 18.,Sarchese V,Transbound Emerg Dis,2019,28/02/2019,,,10.1111/tbed.13157
605,Jonny,NO,31490919,Origins of the arctic fox variant rabies viruses responsible for recent cases of the disease in southern Ontario,"Nadin-Davis SA, Fehlner-Gardiner C.",PLoS Negl Trop Dis. 2019 Sep 6;13(9):e0007699. doi: 10.1371/journal.pntd.0007699. eCollection 2019 Sep.,Nadin-Davis SA,PLoS Negl Trop Dis,2019,07/09/2019,PMC6750613,,10.1371/journal.pntd.0007699
613,Jonny,NO,24045642,Canine distemper virus (CDV) in another big cat: should CDV be renamed carnivore distemper virus?,"Terio KA, Craft ME.",mBio. 2013 Sep 17;4(5):e00702-13. doi: 10.1128/mBio.00702-13.,Terio KA,mBio,2013,19/09/2013,PMC3774196,,10.1128/mBio.00702-13
615,Jonny,maybe,27596263,"Primary surveys on molecular epidemiology of bovine viral diarrhea virus 1 infecting goats in Jiangsu province, China","Mao L, Li W, Yang L, Wang J, Cheng S, Wei Y, Wang Q, Zhang W, Hao F, Ding Y, Sun Y, Jiang J.",BMC Vet Res. 2016 Sep 5;12(1):181. doi: 10.1186/s12917-016-0820-7.,Mao L,BMC Vet Res,2016,07/09/2016,PMC5011786,,10.1186/s12917-016-0820-7
618,Jonny,NO,11044104,Strategy for systematic assembly of large RNA and DNA genomes: transmissible gastroenteritis virus model,"Yount B, Curtis KM, Baric RS.",J Virol. 2000 Nov;74(22):10600-11. doi: 10.1128/jvi.74.22.10600-10611.2000.,Yount B,J Virol,2000,24/10/2000,PMC110934,,10.1128/jvi.74.22.10600-10611.2000
620,Jonny,NO,25573161,Restriction fragment length polymorphism analysis of rotavirus VP7-encoding gene from humans and animals of Northeast India: a relative study of Indian and global isolates,"Chakraborty P, Barman NN, Sharma I.",Epidemiol Infect. 2015 Sep;143(12):2503-11. doi: 10.1017/S0950268814003343. Epub 2015 Jan 9.,Chakraborty P,Epidemiol Infect,2015,10/01/2015,,,10.1017/S0950268814003343
622,Jonny,NO,7307467,Rabies risks: systematic evaluation and management of animal bites,Mann JM.,Compr Ther. 1981 Sep;7(9):58-67.,Mann JM,Compr Ther,1981,01/09/1981,,,
626,Jonny,maybe,28067990,Familial Hepatitis E Outbreak Linked to Wild Boar Meat Consumption,"Rivero-Juarez A, Frias M, Martinez-Peinado A, Risalde MA, Rodriguez-Cano D, Camacho A, García-Bocanegra I, Cuenca-Lopez F, Gomez-Villamandos JC, Rivero A.",Zoonoses Public Health. 2017 Nov;64(7):561-565. doi: 10.1111/zph.12343. Epub 2017 Jan 9.,Rivero-Juarez A,Zoonoses Public Health,2017,10/01/2017,,,10.1111/zph.12343
629,Jonny,maybe,14680129,Culicoides mohave (Diptera: Ceratopogonidae): new occurrence records and potential role in transmission of hemorrhagic disease,"Rosenstock SS, Ramberg F, Collins JK, Rabe MJ.",J Med Entomol. 2003 Jul;40(4):577-9. doi: 10.1603/0022-2585-40.4.577.,Rosenstock SS,J Med Entomol,2003,19/12/2003,,,10.1603/0022-2585-40.4.577
635,Jonny,maybe,28497542,Molecular detection and phylogenetic analysis of hepatitis E virus strains circulating in wild boars in south-central Italy,"Aprea G, Amoroso MG, Di Bartolo I, D'Alessio N, Di Sabatino D, Boni A, Cioffi B, D'Angelantonio D, Scattolini S, De Sabato L, Cotturone G, Pomilio F, Migliorati G, Galiero G, Fusco G.",Transbound Emerg Dis. 2018 Feb;65(1):e25-e31. doi: 10.1111/tbed.12661. Epub 2017 May 11.,Aprea G,Transbound Emerg Dis,2018,13/05/2017,,,10.1111/tbed.12661
639,Jonny,maybe,25510481,Studying classical swine fever virus: making the best of a bad virus,"Ji W, Guo Z, Ding NZ, He CQ.",Virus Res. 2015 Feb 2;197:35-47. doi: 10.1016/j.virusres.2014.12.006. Epub 2014 Dec 12.,Ji W,Virus Res,2015,17/12/2014,,,10.1016/j.virusres.2014.12.006
649,Jonny,maybe,24552787,Louping ill virus: an endemic tick-borne disease of Great Britain,"Jeffries CL, Mansfield KL, Phipps LP, Wakeley PR, Mearns R, Schock A, Bell S, Breed AC, Fooks AR, Johnson N.",J Gen Virol. 2014 May;95(Pt 5):1005-1014. doi: 10.1099/vir.0.062356-0. Epub 2014 Feb 19.,Jeffries CL,J Gen Virol,2014,21/02/2014,PMC4811648,,10.1099/vir.0.062356-0
657,Jonny,maybe,20709472,Epidemiology of Pestivirus infection in wild ungulates of the French South Alps,"Martin C, Letellier C, Caij B, Gauthier D, Jean N, Shaffii A, Saegerman C.",Vet Microbiol. 2011 Jan 27;147(3-4):320-8. doi: 10.1016/j.vetmic.2010.07.010. Epub 2010 Jul 23.,Martin C,Vet Microbiol,2011,17/08/2010,,,10.1016/j.vetmic.2010.07.010
663,Jonny,YES,31415822,Epidemic and evolutionary characteristics of peste des petits ruminants virus infecting Procapra przewalskii in Western China,"Li L, Cao X, Wu J, Dou Y, Meng X, Liu D, Liu Y, Shang Y, Liu X.",Infect Genet Evol. 2019 Nov;75:104004. doi: 10.1016/j.meegid.2019.104004. Epub 2019 Aug 12.,Li L,Infect Genet Evol,2019,16/08/2019,,,10.1016/j.meegid.2019.104004
672,Jonny,NO,12573499,Molecular epidemiology of canid rabies in Zimbabwe and South Africa,"Sabeta CT, Bingham J, Nel LH.",Virus Res. 2003 Feb;91(2):203-11. doi: 10.1016/s0168-1702(02)00272-1.,Sabeta CT,Virus Res,2003,08/02/2003,,,10.1016/s0168-1702(02)00272-1
678,Jonny,maybe,26555536,Serological and Molecular Investigation of Swine Hepatitis E Virus in Pigs Raised in Southern Italy,"Costanzo N, Sarno E, Peretti V, Ciambrone L, Casalinuovo F, Santoro A.",J Food Prot. 2015 Nov;78(11):2099-102. doi: 10.4315/0362-028X.JFP-15-159.,Costanzo N,J Food Prot,2015,12/11/2015,,,10.4315/0362-028X.JFP-15-159
682,Jonny,maybe,2665257,Surveillance and monitoring programmes in the control of rinderpest: a review,"Rossiter PB, Wamwayi HM.",Trop Anim Health Prod. 1989 May;21(2):89-99. doi: 10.1007/BF02236185.,Rossiter PB,Trop Anim Health Prod,1989,01/05/1989,,,10.1007/BF02236185
683,Jonny,YES,18957659,Prevalence of infectious agents in free-ranging white-tailed deer in northeastern Mexico,"Cantu A, Ortega-S JA, Mosqueda J, Garcia-Vazquez Z, Henke SE, George JE.",J Wildl Dis. 2008 Oct;44(4):1002-7. doi: 10.7589/0090-3558-44.4.1002.,Cantu A,J Wildl Dis,2008,30/10/2008,,,10.7589/0090-3558-44.4.1002
686,Jonny,maybe,22168900,Seroprevalence evolution of selected pathogens in Iberian wild boar,"Boadella M, Ruiz-Fons JF, Vicente J, Martín M, Segalés J, Gortazar C.",Transbound Emerg Dis. 2012 Oct;59(5):395-404. doi: 10.1111/j.1865-1682.2011.01285.x. Epub 2011 Dec 13.,Boadella M,Transbound Emerg Dis,2012,16/12/2011,,,10.1111/j.1865-1682.2011.01285.x
687,Jonny,NO,21723883,Evaluation of a real-time RT-PCR assay using minor groove binding probe for specific detection of Chinese wild-type classical swine fever virus,"Wen G, Zhang T, Yang J, Luo Q, Liao Y, Hu Z, Zhang R, Wang H, Ai D, Luo L, Song N, Shao H.",J Virol Methods. 2011 Sep;176(1-2):96-102. doi: 10.1016/j.jviromet.2011.06.014. Epub 2011 Jun 23.,Wen G,J Virol Methods,2011,05/07/2011,,,10.1016/j.jviromet.2011.06.014
688,Jonny,maybe,12058591,Oral immunisation of wild boar against classical swine fever: concluding analysis of the recent field trials in Germany,"Kaden V, Heyne H, Kiupel H, Letz W, Kern B, Lemmer U, Gossger K, Rothe A, Böhme H, Tyrpe P.",Berl Munch Tierarztl Wochenschr. 2002 May-Jun;115(5-6):179-85.,Kaden V,Berl Munch Tierarztl Wochenschr,2002,13/06/2002,,,
